sample,sex,bam,bai
HG01981,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01981.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01981.GRCh38_no_alt.flnc.bam.bai
HG01993,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01993.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01993.GRCh38_no_alt.flnc.bam.bai
HG02004,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02004.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02004.GRCh38_no_alt.flnc.bam.bai
HG02015,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02015.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02015.GRCh38_no_alt.flnc.bam.bai
HG02027,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02027.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02027.GRCh38_no_alt.flnc.bam.bai
HG02040,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02040.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02040.GRCh38_no_alt.flnc.bam.bai
HG02056,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02056.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02056.GRCh38_no_alt.flnc.bam.bai
HG02071,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02071.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02071.GRCh38_no_alt.flnc.bam.bai
HG02074,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02074.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02074.GRCh38_no_alt.flnc.bam.bai
HG02083,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02083.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02083.GRCh38_no_alt.flnc.bam.bai
HG02129,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02129.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02129.GRCh38_no_alt.flnc.bam.bai
HG02132,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02132.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02132.GRCh38_no_alt.flnc.bam.bai
HG02135,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02135.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02135.GRCh38_no_alt.flnc.bam.bai
HG02148,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02148.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02148.GRCh38_no_alt.flnc.bam.bai
HG02155,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02155.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02155.GRCh38_no_alt.flnc.bam.bai
HG02165,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02165.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02165.GRCh38_no_alt.flnc.bam.bai
HG02178,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02178.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02178.GRCh38_no_alt.flnc.bam.bai
HG02257,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02257.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02257.GRCh38_no_alt.flnc.bam.bai
HG02258,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02258.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02258.GRCh38_no_alt.flnc.bam.bai
HG02273,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02273.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02273.GRCh38_no_alt.flnc.bam.bai
HG02280,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02280.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02280.GRCh38_no_alt.flnc.bam.bai
HG02293,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02293.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02293.GRCh38_no_alt.flnc.bam.bai
HG02300,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02300.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02300.GRCh38_no_alt.flnc.bam.bai
HG02391,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02391.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02391.GRCh38_no_alt.flnc.bam.bai
HG02392,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02392.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02392.GRCh38_no_alt.flnc.bam.bai
HG02451,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02451.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02451.GRCh38_no_alt.flnc.bam.bai
HG02514,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02514.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02514.GRCh38_no_alt.flnc.bam.bai
HG02523,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02523.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02523.GRCh38_no_alt.flnc.bam.bai
HG02572,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02572.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02572.GRCh38_no_alt.flnc.bam.bai
HG02583,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02583.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02583.GRCh38_no_alt.flnc.bam.bai
HG02602,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02602.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02602.GRCh38_no_alt.flnc.bam.bai
HG02615,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02615.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02615.GRCh38_no_alt.flnc.bam.bai
HG02622,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02622.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02622.GRCh38_no_alt.flnc.bam.bai
HG02630,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02630.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02630.GRCh38_no_alt.flnc.bam.bai
HG02647,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02647.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02647.GRCh38_no_alt.flnc.bam.bai
HG02668,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02668.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02668.GRCh38_no_alt.flnc.bam.bai
HG02698,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02698.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02698.GRCh38_no_alt.flnc.bam.bai
HG02717,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02717.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02717.GRCh38_no_alt.flnc.bam.bai
HG02735,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02735.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02735.GRCh38_no_alt.flnc.bam.bai
HG02738,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02738.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02738.GRCh38_no_alt.flnc.bam.bai
HG02809,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02809.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02809.GRCh38_no_alt.flnc.bam.bai
HG02841,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02841.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02841.GRCh38_no_alt.flnc.bam.bai
HG02886,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02886.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02886.GRCh38_no_alt.flnc.bam.bai
HG02922,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02922.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02922.GRCh38_no_alt.flnc.bam.bai
HG02965,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02965.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02965.GRCh38_no_alt.flnc.bam.bai
HG02976,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02976.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02976.GRCh38_no_alt.flnc.bam.bai
HG02984,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02984.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG02984.GRCh38_no_alt.flnc.bam.bai
HG03017,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03017.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03017.GRCh38_no_alt.flnc.bam.bai
HG03041,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03041.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03041.GRCh38_no_alt.flnc.bam.bai
HG03050,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03050.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03050.GRCh38_no_alt.flnc.bam.bai
HG03130,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03130.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03130.GRCh38_no_alt.flnc.bam.bai
HG03139,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03139.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03139.GRCh38_no_alt.flnc.bam.bai
HG03195,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03195.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03195.GRCh38_no_alt.flnc.bam.bai
HG03209,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03209.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03209.GRCh38_no_alt.flnc.bam.bai
HG03225,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03225.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03225.GRCh38_no_alt.flnc.bam.bai
HG03239,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03239.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03239.GRCh38_no_alt.flnc.bam.bai
HG03270,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03270.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03270.GRCh38_no_alt.flnc.bam.bai
HG03369,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03369.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03369.GRCh38_no_alt.flnc.bam.bai
HG03453,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03453.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03453.GRCh38_no_alt.flnc.bam.bai
HG03470,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03470.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03470.GRCh38_no_alt.flnc.bam.bai
HG03516,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03516.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03516.GRCh38_no_alt.flnc.bam.bai
HG03521,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03521.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03521.GRCh38_no_alt.flnc.bam.bai
HG03540,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03540.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03540.GRCh38_no_alt.flnc.bam.bai
HG03579,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03579.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03579.GRCh38_no_alt.flnc.bam.bai
HG03583,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03583.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03583.GRCh38_no_alt.flnc.bam.bai
HG03654,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03654.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03654.GRCh38_no_alt.flnc.bam.bai
HG03669,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03669.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG03669.GRCh38_no_alt.flnc.bam.bai
